Brand,Date,Day,Index,Beverage,Beer,Wine,Liquor,Miscellaneous1,Retail Sales,Food Supplies,Labor,Cash Flow,Ordered,Quantity,Unit Cost,Ext Value,Extra_0,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra_6,Extra_7,Extra_8,Extra_9,Extra_10,Extra_11,Extra_12,Extra_13,Extra_14,Extra_15,Extra_16,Extra_17,Extra_18,Extra_19,Extra_20,Extra_21
DeKuyper Melon 1L,1.0,06,06,1073,6438,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
DeKuyper Razzamatazz Schnapps 1L,1.0,955,955,1073,1024715,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
DeKuyper Sour Apple Pucker Schnapps 1L,1.0,285,285,1073,305805,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
EJ,Brandy 1L,1.0,ltr,29,29,1199,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Frangelico 750ml,1.0,845,845,2479,2094755,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Grand Marnier 1L,1.0,33,33,3442,113586,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Jagermeister 1L,1.0,065,065,2622,17043,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Kahlua 1L,1.0,05,05,2943,14715,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Martini,Rossi Dry Vermouth 375ml,1.0,ml,1,1,37,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Midori Melon 750ml,1.0,065,065,1638,10647,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Mr Boston Amaretto 1L,1.0,295,295,505,148975,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Mr Boston Blue Curacao 1L,1.0,455,455,505,229775,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Mr Boston Melon 1L,1.0,15,15,592,888,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Mr Boston Peach Schnapps 1L,1.0,61,61,542,33062,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Tuaca 1L,1.0,285,285,2213,630705,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
LiquorLiqueurs Subtotal,1.0,6345,6345,11027335,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Chivas Regal 12yr Blended Scotch 750ml,1.0,2,2,293,586,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Dewars White Label Scotch 1L,1.0,115,115,208,2392,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Glenmorangie 10yr Highland Single Malt Scotch 1L,1.0,155,155,4102,63581,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Johnnie Walker Black Label Scotch 1L,1.0,245,245,4199,1028755,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Johnnie Walker Black Scotch 750ml,1.0,035,035,3224,11284,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Macallan 12yr Single Malt Scotch 750ml,1.0,24,24,7599,182376,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Paul Masson VSOP Brandy 750ml,1.0,37,37,1039,38443,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
LiquorScotch Subtotal,1.0,136,136,4810795,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1800 Reposado Tequila 1L,1.0,62,62,2959,183458,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1800 Silver Tequila 1L,1.0,125,125,2799,349875,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Clase Azul Añejo Teq 750ml,1.0,11,11,36798999,404788989,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
